id,year,title_ru,title_en,role_ru,role_en,goal_ru,goal_en,desc_ru,desc_en,result_ru,result_en,tags_ru,tags_en
sozdavay,2021—2022,"Скетчбук «Создавай»","Sketchbook "Create"","Арт-директор · Дизайн печатной продукции","Art Director · Print Design","Создать серию скетчбуков, протестировать и показать возможности новейшего оборудования многоэтапной печати.","Create a series of sketchbooks, test and showcase the capabilities of the latest multi-stage printing equipment.","За основу дизайна выбраны традиционные узоры. Изначально планировался яркий дизайн на pantone 601–607, но колеровка с серебром не даёт эффект неона, поэтому выбор остановился на стандартной палитре. Для дополнения визуального стиля разработан авторский шрифт «Arhidis-folk» с поддержкой кириллицы и латиницы. Обложка напечатана на немецком оборудовании флексопечати с применением серебрянного пигмента, ламинация софт-тач, выборочный лак.","Traditional patterns were chosen as the design basis. A vibrant Pantone 601–607 design was initially planned, but coloring with silver doesn't achieve a neon effect, so the standard palette was used instead. A custom typeface "Arhidis-folk" with Cyrillic and Latin support was developed to complement the visual style. The cover was printed on German flexographic equipment with silver pigment, soft-touch lamination, and spot varnish.","Серия из 4 скетчбуков в единой стилистике изготовлена тиражом 10 000 шт и ретиражируется по запросу. Реализуется на маркетплейсах и в магазинах в трёх странах мира.","A series of 4 sketchbooks in a unified style, produced in a run of 10,000 copies and reprinted on demand. Sold on marketplaces and in stores across three countries.","Печать;Типографика;Авторский шрифт;Флексо","Print;Typography;Custom typeface;Flexo"
sherlock,2019—2021,"Настольная игра «Шерлок против Мориарти»","Board game "Sherlock vs Moriarty"","Арт-директор · Издательский дизайн","Art Director · Publishing Design","Создать настольную игру с узнаваемыми персонажами на основе понятной игровой механики.","Create a board game with recognisable characters built on an intuitive game mechanic.","Концепция дизайна определялась референсами и возможностями дизайнеров. Под моим руководством над проектом работали 5 специалистов. Работа выполнена в рамках технического задания и сдана раньше планируемого срока.","The design concept was shaped by references and the team's capabilities. Under my direction, 5 specialists worked on the project. Delivered within brief and ahead of schedule.","Настольная игра изготовлена тиражом 1000 шт. Реализуется на маркетплейсах и в розничных магазинах.","Board game produced in a run of 1,000 copies. Sold on marketplaces and in retail stores.","Иллюстрация;Управление;Печать;Настольные игры","Illustration;Leadership;Print;Board games"
planeta,2020,"Скетчбук «Планета»","Sketchbook "Planet"","Арт-директор · Нейрогенеративный дизайн","Art Director · Neural Generative Design","Экспериментальная серия нейрогенеративного дизайна — создана на самых первых версиях графических ИИ в 2020 году, до появления Midjourney и Stable Diffusion.","An experimental series of neural generative design — created on the earliest graphic AI models in 2020, before Midjourney and Stable Diffusion existed.","Ранние модели нейросетей не имели точного понимания характеристик объектов; их код был написан в 1980-х на ассемблере без оптимизации, и на создание одной обложки ушло несколько дней. Наиболее удачные генерации вошли в серию и доработаны под требования печати; обложка ламинирована с выборочным лаком.","Early neural models lacked precise understanding of object characteristics; their code was written in the 1980s in assembly without optimisation, and generating a single cover took several days. The best outputs were selected, refined for print requirements, and finished with lamination and spot varnish.","Тираж 1000 шт. Реализуется на маркетплейсах и в розничных магазинах.","Print run of 1,000 copies. Sold on marketplaces and in retail stores.","Нейросети;Печать;Эксперимент","AI;Print;Experiment"
funny_random,2019—2020,"Настольная игра «Funny random cards»","Board game "Funny Random Cards"","Арт-директор · Издательский дизайн","Art Director · Publishing Design","Создать быструю весёлую настольную игру для 1+ игроков в дорогу.","Create a quick, fun board game for 1+ players on the go.","Идея механики родилась при изучении матрицы для бесконечного монолога публичных выступлений: комбинация двух карт, где первая — сюжет, вторая — забавный финал. Концепт-арты понравились издательству, и было решено развивать игру именно в этом скетч-стиле.","The mechanic idea came from a public-speaking infinite-monologue matrix: a combination of two cards — the first a plot, the second a funny ending. The publisher loved the concept art and decided to develop the game in this sketch style.","В серию входят 16 артикулов от двух издателей. Оптимизированное под производство изделие стало доступным в рознице. Первый тираж — 2000 шт каждого артикула.","The series includes 16 SKUs from two publishers. The production-optimised product reached retail. First print run — 2,000 copies per SKU.","Иллюстрация;Печать;Настольные игры","Illustration;Print;Board games"
pyanye_slova,2020—2021,"Настольная игра «Пьяные слова»","Board game "Drunk Words"","Арт-директор · Издательский дизайн","Art Director · Publishing Design","Создать дизайн-систему для карточной игры-фантов.","Create a design system for a forfeit card game.","Дизайн карт выполнен в стиле дудл/гранж без иллюстраций. Дизайн коробки отсылает к тематике мероприятия.","The card design is done in a doodle/grunge style without illustrations. The box design references the event theme.","Тираж 2000 шт. Реализуется на маркетплейсах и в розничных магазинах.","Print run of 2,000 copies. Sold on marketplaces and in retail stores.","Печать;Настольные игры;Дизайн-система","Print;Board games;Design system"
danets,2020—2022,"Настольная игра «DaNets. Триллер»","Board game "YesNo. Thriller"","Арт-директор · Иллюстрация","Art Director · Illustration","Создать серию карточных игр с загадками в различных сеттингах.","Create a series of riddle card games in various settings.","На лицевой стороне карты — загадка и иллюстрация-подсказка, на оборотной — ответ, известный только ведущему. Простая механика: вопросы ведущему на «да» и «нет». Дизайн и иллюстрации выполнены самостоятельно.","The front of each card features a riddle and an illustration hint; the back has the answer, known only to the host. Simple mechanic: yes/no questions to the host. Design and illustrations done independently.","Серия из 8 артикулов. Тираж 1000 шт. Реализуется на маркетплейсах и в розничных магазинах. На оборотной стороне коробки указан как дизайнер.","A series of 8 SKUs. Print run of 1,000 copies. Sold on marketplaces and in retail stores. Listed as designer on the back of the box.","Иллюстрация;Печать;Настольные игры","Illustration;Print;Board games"
water_coloring,2020—2022,"Раскраска «Большая водная раскраска»","Coloring book "Big Water Coloring"","Арт-директор · Дизайн печатной продукции","Art Director · Print Design","Создать производственную технологию смешивания цвета и серию детских раскрасок.","Develop a production color-mixing technology and a series of children's coloring books.","В мире существует лишь несколько производств, способных печатать акварельной краской. Для одного из них разработан сет паттернов из 120 узоров для заливки объектов раскраски. Ключевая сложность — точные пропорции пигмента на единицу площади: ошибка в соотношении даёт непредсказуемый цвет. Дизайн основан на простой геометрии; острые углы заливки намеренно исключены, чтобы дети лучше справлялись с раскрашиванием.","Only a few facilities in the world can print with watercolour ink. A set of 120 fill patterns was developed for one of them. The key challenge — precise pigment ratios per unit area: an error yields an unpredictable colour. The design is based on simple geometry; sharp fill angles were deliberately avoided so children can colour more easily.","Паттерны заливки применяются в производстве до сих пор. Серия из 4 артикулов, первый тираж — 10 000 шт каждого. Реализуется на маркетплейсах и в розничных магазинах.","The fill patterns are still used in production today. A series of 4 SKUs, first print run of 10,000 copies each. Sold on marketplaces and in retail stores.","Печать;Паттерн;Типографика;Детские товары","Print;Pattern;Typography;Children's products"
magic_black,2021—2022,"Раскраска-антистресс «Магия чёрного»","Anti-stress coloring book "Magic of Black"","Арт-директор · Иллюстрация","Art Director · Illustration","Создать раскраску для взрослых на 10+ часов использования.","Create an adult coloring book for 10+ hours of use.","Авторская разработка дизайн-системы и иллюстраций на основе народных узоров. Ключевая сложность — детализация, толщина линий и отступы: раскраска предназначена для цветных ручек и карандашей, что требует точных допусков.","Original design system and illustrations based on folk patterns. The key challenge — level of detail, line weight, and spacing: the book is designed for coloured pens and pencils, requiring precise tolerances.","После реализации серия расширилась до 8 артикулов. Тираж 1000 шт каждого артикула. Реализуется на маркетплейсах и в розничных магазинах.","After the initial release, the series expanded to 8 SKUs. Print run of 1,000 copies per SKU. Sold on marketplaces and in retail stores.","Иллюстрация;Паттерн;Печать;Антистресс","Illustration;Pattern;Print;Anti-stress"
logos1,2018—2022,"Логотипы и брендбуки · Серия I","Logos & Brandbooks · Series I","Арт-директор · Брендинг","Art Director · Branding","Создать логотипы и брендбуки для заказчиков из разных отраслей.","Create logos and brandbooks for clients from various industries.","1. Senkuro — сайт-платформа для чтения манги; 2. АННА — производство мягкой мебели; 3. Dream cards™ — бренд поздравительных открыток и конвертов; 4. bmc — производство пластиковых вёдер.","1. Senkuro — manga-reading platform; 2. ANNA — upholstered furniture manufacturer; 3. Dream cards™ — greeting cards and envelopes brand; 4. bmc — plastic bucket manufacturer.","Каждый проект завершён полным комплектом фирменного стиля и брендбуком.","Each project was completed with a full corporate identity kit and brandbook.","Брендинг;Айдентика;Логотип","Branding;Identity;Logo"
feedermulticard,2022—2024,"Проект «Feedermulticard»","Project "Feedermulticard"","Автор · Промышленный дизайн","Author · Industrial Design","Создать универсальный компактный гаджет для фидерной рыбалки.","Create a universal compact gadget for feeder fishing.","Полностью авторская разработка. Изделие включает 12 инструментов для быстрой вязки снастей и дополнительных задач. Дизайн прошёл 4 итерации, проведены A/B-тесты, изготовлены прототипы из ПВХ, алюминия и нержавеющей стали. Составлено коммерческое предложение, подана заявка на патент.","Fully original development. The product includes 12 tools for quick rig tying and additional tasks. The design went through 4 iterations, A/B tests were conducted, and prototypes were made from PVC, aluminium, and stainless steel. A commercial proposal was prepared and a patent application filed.","Проект остановлен из-за сложностей с мировым патентом и защитой от копирования.","The project was halted due to difficulties obtaining an international patent and preventing copying.","Промышленный дизайн;Прототипирование;Патент","Industrial design;Prototyping;Patent"
